# Sim v1 (Up to date)
# 3372 data points written for 12 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Vitesse totale (m/s),Masse (g),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Coefficient de force normale (​),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
6.529,1410.316,447.71,1.554e4,240.494,189.687,3.387,0.004,5.833,855.1,0.001,1.34
6.579,1430.302,449.164,1.549e4,240.39,189.584,3.387,0.011,5.703,852.974,0.001,1.344
6.621,1447.1,450.252,1.545e4,240.358,189.497,3.391,0.004,5.594,851.187,0.001,1.348
6.647,1457.514,450.867,1.542e4,240.333,189.444,3.393,0.001,5.526,850.079,0.001,1.35
6.686,1473.158,451.633,1.539e4,240.294,189.392,3.394,0.001,5.424,848.415,0.001,1.352
6.736,1493.285,452.259,1.536e4,240.251,189.325,3.395,0.002,5.294,846.274,0.001,1.355
6.786,1513.426,452.485,1.532e4,240.231,189.257,3.398,0.002,5.163,844.201,0.001,1.356
6.836,1533.563,452.312,1.529e4,240.228,189.19,3.403,0.003,5.032,842.163,0.001,1.356
6.886,1553.678,451.743,1.526e4,240.236,189.122,3.408,0.007,4.901,840.127,0.001,1.354
6.936,1573.754,450.781,1.522e4,240.301,189.054,3.417,0.002,4.771,838.095,0.001,1.352
6.986,1593.774,449.428,1.519e4,240.311,188.985,3.422,0.017,4.64,836.069,0.001,1.348
7.01,1603.236,448.651,1.517e4,240.399,188.953,3.43,0.004,4.579,835.111,0.001,1.345
7.045,1617.394,447.324,1.515e4,240.455,188.904,3.437,0.006,4.487,833.678,0.001,1.342
7.074,1628.853,446.102,1.513e4,240.522,188.864,3.444,0.003,4.412,832.518,0.001,1.338
7.117,1645.974,444.013,1.512e4,240.614,188.844,3.451,0.003,4.301,830.785,0.001,1.332
7.167,1665.643,441.196,1.511e4,240.739,188.822,3.461,0.001,4.173,828.794,0.001,1.324
7.217,1685.172,437.954,1.509e4,240.85,188.799,3.47,0.005,4.046,826.818,0.001,1.315
7.239,1693.609,436.412,1.509e4,240.922,188.789,3.476,0.002,3.992,825.964,0.001,1.31
# Event BURNOUT occurred at t=7.254 seconds
# Event EJECTION_CHARGE occurred at t=7.254 seconds
7.254,1699.415,435.253,1.509e4,240.956,188.788,3.478,0.004,3.954,825.376,0.001,1.307
7.276,1708.095,433.418,1.509e4,241.03,188.788,3.483,0.001,3.897,824.498,0.001,1.302
7.31,1721.044,430.684,1.509e4,241.121,188.788,3.489,0.001,3.813,823.187,0.001,1.294
7.36,1740.073,426.669,1.509e4,241.238,188.788,3.497,0.002,3.69,821.261,0.001,1.282
7.41,1758.921,422.693,1.509e4,241.349,188.788,3.504,3.111e-5,3.567,819.353,0.001,1.27
7.46,1777.588,418.75,1.509e4,241.419,188.788,3.509,0.005,3.446,817.464,0.001,1.259
7.51,1796.075,414.835,1.509e4,241.502,188.788,3.514,0.002,3.326,815.593,0.001,1.247
7.56,1814.385,410.947,1.509e4,241.542,188.788,3.517,0.008,3.206,813.739,0.001,1.236
7.61,1832.519,407.082,1.509e4,241.596,188.788,3.521,0.006,3.089,811.904,0.001,1.225
7.66,1850.476,403.24,1.509e4,241.617,188.788,3.522,0.009,2.972,810.086,0.001,1.213
7.71,1868.259,399.42,1.509e4,241.659,188.788,3.525,0.003,2.856,808.286,0.001,1.202
7.76,1885.868,395.623,1.509e4,241.671,188.788,3.526,0.002,2.742,806.504,0.001,1.191
7.81,1903.305,391.851,1.509e4,241.647,188.788,3.524,0.007,2.629,804.739,0.001,1.18
7.86,1920.57,388.104,1.509e4,241.645,188.788,3.524,0.003,2.516,802.992,0.001,1.169
7.91,1937.665,384.386,1.509e4,241.619,188.788,3.522,0.003,2.405,801.261,0.001,1.158
